regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
74,3.887030042215353e-05,315262889.84217733,12254.363240121727,-1942858.6359330253,alto,bajo,bajo,alto,bajo,alto,bajo,888293.2828723731,-273589804.79329324,2105838.3153141555,-156534066.32421735,922917.3305576527,-409727.20181987283,-5135808.834961622
73,1.1430607779705633e-05,1028574633.6310002,11757.233209190383,194629700.43100616,alto,bajo,bajo,alto,bajo,bajo,alto,-20566837.36776673,-967755047.7956294,39589142.763279065,275362942.23200244,-26436384.317105964,-21828117.738782354,-67415354.38513748
79,2.2953959901192504e-05,493975076.4578677,11338.684097202397,9775114.50881786,alto,bajo,bajo,alto,alto,alto,alto,4794319.03261603,-465241536.3952682,6242650.169382179,165411452.773281,-3141576.567530046,2584219.1018380024,5165610.7169394
110,1.5719095150879315e-05,671728858.999812,10558.96985020964,501375711.328876,alto,alto,bajo,alto,alto,alto,bajo,553064.2963929033,390111503.95573455,1028128.7952830355,-218221945.56171244,-1220670.810232937,-4832711.875179572,-2836368.995346523
111,1.8169312180402224e-05,534668852.14915985,9714.565287835407,-362876867.4003203,alto,alto,bajo,alto,alto,alto,alto,-3139300.5570235094,-340713447.4221787,-1211828.4188422952,194976478.41832128,2452828.7878072322,1777178.0375927917,-8317554.121916563
75,3.9316646281899885e-05,235542844.29730397,9260.75469346972,-4982116.522552992,alto,bajo,bajo,alto,bajo,alto,alto,-2733051.052789939,-27497276.362962954,-2064855.1521397932,233678352.7673591,-832348.1547434145,-1440977.9351387976,-8912622.47912845
104,5.2575457179958615e-06,1757375567.089436,9239.482387661614,908991873.9105865,alto,alto,bajo,alto,bajo,bajo,bajo,-7809377.473178507,1254954976.1896515,18102553.930547692,-824973690.708135,-15921880.20870609,-51114490.0523191,57915353.280893385
76,6.409881518168704e-06,1286030086.3822012,8243.300482510173,-674358830.1262571,alto,bajo,bajo,alto,alto,bajo,bajo,9628636.641010327,1021293983.4997219,-27752438.051419754,-376418662.2889049,-33925348.66347962,-84910023.01139829,71816373.53530206
78,1.9357092033052235e-05,425009939.8871257,8226.95652135709,-72454744.79788476,alto,bajo,bajo,alto,alto,alto,bajo,-836887.6481716909,34467991.52132903,-7958469.987477642,417279606.7117123,656312.7364732013,2996291.7310375264,14356.638850624535
60,5.802214358428456e-05,136983972.89787832,7948.1037442264405,99064842.77440658,bajo,alto,alto,alto,alto,bajo,bajo,-813323.1432888448,79643885.81447014,-4674741.169028108,-50077566.99628631,3318509.4646779033,-1562251.221394095,-7992913.085611807
9,2.7719487163129806e-06,2483103889.0112042,6883.036637616377,396451046.6828744,bajo,bajo,bajo,alto,bajo,bajo,alto,268446149.5633341,1712371182.705074,188898257.1108221,1395473932.367709,109411947.5008654,952270725.9257885,320207013.45223856
72,9.23785486663633e-06,712399993.9635851,6581.047751228197,-56175753.12531336,alto,bajo,bajo,alto,bajo,bajo,bajo,3964221.027962289,698023469.4479927,-27800443.54821702,102161479.12293236,19639257.218800824,42835679.71591845,-60622841.01437948
